10,20,25,50,100
"{'accuracy': 0.9420289855072463, 'f1': 0.8583333333333334, 'precision': 0.96875, 'recall': 0.8333333333333333}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}","{'accuracy': 0.9420289855072463, 'f1': 0.9294155844155844, 'precision': 0.9436813186813187, 'recall': 0.9196428571428571}","{'accuracy': 0.9565217391304348, 'f1': 0.9332160477512004, 'precision': 0.9389880952380952, 'recall': 0.9285714285714286}","{'accuracy': 0.9420289855072463, 'f1': 0.9461623325453112, 'precision': 0.9415064102564104, 'recall': 0.9523809523809523}"
"{'accuracy': 0.9710144927536232, 'f1': 0.9430778032036613, 'precision': 0.9497126436781609, 'recall': 0.9375}","{'accuracy': 0.9420289855072463, 'f1': 0.9106060606060606, 'precision': 0.96875, 'recall': 0.875}","{'accuracy': 0.927536231884058, 'f1': 0.8976505950190161, 'precision': 0.9027093596059114, 'recall': 0.8988095238095238}","{'accuracy': 0.9710144927536232, 'f1': 0.9630250069079856, 'precision': 0.980654761904762, 'recall': 0.9494047619047619}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}"
"{'accuracy': 0.9565217391304348, 'f1': 0.9230484330484331, 'precision': 0.9093406593406594, 'recall': 0.9404761904761905}","{'accuracy': 0.9710144927536232, 'f1': 0.9661908225738013, 'precision': 0.9538690476190477, 'recall': 0.9821428571428572}","{'accuracy': 0.9565217391304348, 'f1': 0.9315229563269877, 'precision': 0.9723419540229885, 'recall': 0.9077380952380952}","{'accuracy': 0.9420289855072463, 'f1': 0.9244956658786446, 'precision': 0.9190705128205129, 'recall': 0.9315476190476191}","{'accuracy': 0.9710144927536232, 'f1': 0.9630250069079856, 'precision': 0.980654761904762, 'recall': 0.9494047619047619}"
"{'accuracy': 0.9420289855072463, 'f1': 0.9182692307692307, 'precision': 0.9, 'recall': 0.9642857142857143}","{'accuracy': 0.9565217391304348, 'f1': 0.9346969696969697, 'precision': 0.9298433048433048, 'recall': 0.9404761904761905}","{'accuracy': 0.8985507246376812, 'f1': 0.8498382749326145, 'precision': 0.8357692307692308, 'recall': 0.8720238095238095}","{'accuracy': 0.9130434782608695, 'f1': 0.8778205128205129, 'precision': 0.8592414529914529, 'recall': 0.9136904761904762}","{'accuracy': 0.927536231884058, 'f1': 0.8994920174165456, 'precision': 0.8828571428571429, 'recall': 0.9226190476190477}"
