hz,estimators,time,device
25,3,0.17052132785712665,local
25,4,0.2816367414286885,local
25,5,0.3360056639999779,local
25,10,0.6606101790000918,local
100,3,0.18288322498571818,local
100,4,0.23649725599982827,local
100,5,0.3054943384285512,local
100,10,0.5659288368571781,local
