10,20,25,50,100
"{'accuracy': 0.9420289855072463, 'f1': 0.8764069264069264, 'precision': 0.9375, 'recall': 0.8660714285714286, 'time': [6.721081279993086e-05, 6.539114669994887e-05, 6.722447599986481e-05, 6.449106880008912e-05, 6.404692830001295e-05, 6.848955579989706e-05, 6.567747770004643e-05]}","{'accuracy': 0.9420289855072463, 'f1': 0.8764069264069264, 'precision': 0.9375, 'recall': 0.8660714285714286, 'time': [6.86460441998861e-05, 6.93281793001006e-05, 7.377102030004608e-05, 7.024197239989007e-05, 6.937440970013995e-05, 6.489967699999398e-05, 6.591632319996279e-05]}","{'accuracy': 0.927536231884058, 'f1': 0.8789173789173789, 'precision': 0.8713369963369964, 'recall': 0.8898809523809523, 'time': [6.615704220002953e-05, 6.503573339996365e-05, 6.75696924001386e-05, 6.481297800000902e-05, 6.530390759999136e-05, 6.675876360004622e-05, 6.682529230001819e-05]}","{'accuracy': 0.927536231884058, 'f1': 0.8828289992119779, 'precision': 0.8774038461538461, 'recall': 0.8898809523809523, 'time': [6.887246910009708e-05, 6.947141050004575e-05, 6.837523080012033e-05, 6.802474569994957e-05, 6.889255930000218e-05, 6.806686569998419e-05, 7.234195109995199e-05]}","{'accuracy': 0.8840579710144928, 'f1': 0.776697177726926, 'precision': 0.7824951160783244, 'recall': 0.771868530020704, 'time': [6.891266989987344e-05, 6.912272569989e-05, 7.009710580005049e-05, 7.000511219994223e-05, 6.870984699999099e-05, 6.922430159993383e-05, 7.03308707999895e-05]}"
"{'accuracy': 0.8695652173913043, 'f1': 0.7820928959661918, 'precision': 0.8208333333333333, 'recall': 0.7828674948240165, 'time': [0.0005764869509985146, 0.0005874070310001116, 0.0006147953990002862, 0.0006001068639998266, 0.0005892869239996799, 0.0005895075640000868, 0.0005925812189998396]}","{'accuracy': 0.9420289855072463, 'f1': 0.8891304347826088, 'precision': 0.96875, 'recall': 0.8541666666666666, 'time': [0.0005826667159999488, 0.0005709295920005388, 0.0005786525980001898, 0.0006485505559994635, 0.0006087883299987879, 0.0005803564809993986, 0.0005876123289999669]}","{'accuracy': 0.9565217391304348, 'f1': 0.908041958041958, 'precision': 0.9142857142857143, 'recall': 0.9077380952380952, 'time': [0.0005935175519989571, 0.0005926575690009486, 0.0005771507200006454, 0.0005851623670005211, 0.0005890819619999093, 0.0006188148649998766, 0.0005874368230015534]}","{'accuracy': 0.9565217391304348, 'f1': 0.9435578310578311, 'precision': 0.9553571428571429, 'recall': 0.9385351966873705, 'time': [0.0005910167829988495, 0.0005830863280007179, 0.0006031499359996815, 0.0005849078379997081, 0.0006007284150000487, 0.0005941418370002794, 0.0006077220499992108]}","{'accuracy': 0.9855072463768116, 'f1': 0.9854545454545455, 'precision': 0.9807692307692308, 'recall': 0.9910714285714286, 'time': [0.0005829294840004877, 0.0006115933449982549, 0.0006103827740007546, 0.000605703031998928, 0.000626725901998725, 0.0005928388550000818, 0.0006115290170000663]}"
"{'accuracy': 0.9420289855072463, 'f1': 0.903961038961039, 'precision': 0.912912087912088, 'recall': 0.8988095238095238, 'time': [5.7327271999929506e-05, 5.836424570006784e-05, 6.0204516200064974e-05, 6.558418690001417e-05, 6.147908739985723e-05, 6.391938659999141e-05, 5.7770006700047815e-05]}","{'accuracy': 0.9710144927536232, 'f1': 0.9413793103448276, 'precision': 0.9833333333333334, 'recall': 0.9166666666666666, 'time': [6.126881019990833e-05, 5.847306279993063e-05, 5.931126989999029e-05, 6.145228519999363e-05, 6.111204030003137e-05, 5.672774220001884e-05, 6.051806170016789e-05]}","{'accuracy': 0.9420289855072463, 'f1': 0.9119252873563218, 'precision': 0.9541666666666666, 'recall': 0.8869047619047619, 'time': [6.374076119991514e-05, 6.303739079994557e-05, 6.303491589987971e-05, 5.788146830000187e-05, 6.091536950007139e-05, 5.84010632999707e-05, 5.894459420014755e-05]}","{'accuracy': 0.9130434782608695, 'f1': 0.8533045977011494, 'precision': 0.8833333333333333, 'recall': 0.8363095238095238, 'time': [6.5787535599884e-05, 6.121307560006244e-05, 5.917057100014063e-05, 5.891633549999824e-05, 6.0654812900065735e-05, 5.937022470006923e-05, 5.8829953200074666e-05]}","{'accuracy': 0.927536231884058, 'f1': 0.8890550239234449, 'precision': 0.9033045977011495, 'recall': 0.8779761904761905, 'time': [6.340462240004854e-05, 6.258691050006746e-05, 6.343376559998433e-05, 6.397538660003192e-05, 6.193942299996706e-05, 6.214922629987996e-05, 6.254817669996556e-05]}"
"{'accuracy': 0.9420289855072463, 'f1': 0.9129120879120879, 'precision': 0.9464285714285714, 'recall': 0.8988095238095238, 'time': [6.013034210009209e-05, 6.152722220012947e-05, 6.10744818999592e-05, 6.0433357700094346e-05, 6.0436639599902266e-05, 6.12815871998464e-05, 5.968720079999912e-05]}","{'accuracy': 0.927536231884058, 'f1': 0.8792915118351391, 'precision': 0.9573252688172044, 'recall': 0.8452380952380952, 'time': [6.141862460008269e-05, 6.254127150004933e-05, 6.337093389993243e-05, 5.9780116500041913e-05, 6.201618330014753e-05, 5.8695505499963475e-05, 6.18228139999701e-05]}","{'accuracy': 0.8840579710144928, 'f1': 0.824496868379847, 'precision': 0.8330357142857143, 'recall': 0.8184523809523809, 'time': [5.9290504800083e-05, 6.065432429986686e-05, 5.976822880002146e-05, 6.049695959991368e-05, 5.8923065299859444e-05, 6.120602020000661e-05, 5.996180139991338e-05]}","{'accuracy': 0.9130434782608695, 'f1': 0.878879985262964, 'precision': 0.8919642857142858, 'recall': 0.8690476190476191, 'time': [6.168035129994678e-05, 6.112151559991617e-05, 6.186891739998828e-05, 6.226228489995265e-05, 6.095359020000615e-05, 6.106597970010625e-05, 6.0802589200102375e-05]}","{'accuracy': 0.9130434782608695, 'f1': 0.878879985262964, 'precision': 0.8919642857142858, 'recall': 0.8690476190476191, 'time': [6.164058729991667e-05, 6.36433349998697e-05, 6.270782610008609e-05, 6.313819309998508e-05, 6.211894629996095e-05, 6.57791465999253e-05, 6.51091298999745e-05]}"
