10,20,25,50,100
"{'accuracy': 0.9710144927536232, 'f1': 0.9483918128654971, 'precision': 0.9497126436781609, 'recall': 0.9474637681159421}","{'accuracy': 0.9710144927536232, 'f1': 0.9402948861515491, 'precision': 0.980962643678161, 'recall': 0.9166666666666666}","{'accuracy': 0.8985507246376812, 'f1': 0.8632724252491694, 'precision': 0.8499313186813187, 'recall': 0.8870341614906831}","{'accuracy': 0.927536231884058, 'f1': 0.9056060606060605, 'precision': 0.9013532763532763, 'recall': 0.9107142857142857}","{'accuracy': 0.927536231884058, 'f1': 0.9056060606060605, 'precision': 0.9013532763532763, 'recall': 0.9107142857142857}"
"{'accuracy': 0.9565217391304348, 'f1': 0.903954802259887, 'precision': 0.9758064516129032, 'recall': 0.875}","{'accuracy': 0.9565217391304348, 'f1': 0.9186602870813397, 'precision': 0.9327586206896552, 'recall': 0.9077380952380952}","{'accuracy': 0.9710144927536232, 'f1': 0.9413793103448276, 'precision': 0.9833333333333334, 'recall': 0.9166666666666666}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}","{'accuracy': 0.9420289855072463, 'f1': 0.9037072372904457, 'precision': 0.925, 'recall': 0.8869047619047619}"
"{'accuracy': 0.9565217391304348, 'f1': 0.9230484330484331, 'precision': 0.9093406593406594, 'recall': 0.9404761904761905}","{'accuracy': 0.9855072463768116, 'f1': 0.9762237762237762, 'precision': 0.9642857142857143, 'recall': 0.9910714285714286}","{'accuracy': 0.9855072463768116, 'f1': 0.9901353965183752, 'precision': 0.9895833333333334, 'recall': 0.9910714285714286}","{'accuracy': 0.9420289855072463, 'f1': 0.9254500818330605, 'precision': 0.90625, 'recall': 0.9642857142857143}","{'accuracy': 0.9710144927536232, 'f1': 0.9661908225738013, 'precision': 0.9538690476190477, 'recall': 0.9821428571428572}"
"{'accuracy': 0.927536231884058, 'f1': 0.9019607843137255, 'precision': 0.8863636363636364, 'recall': 0.9553571428571428}","{'accuracy': 0.9565217391304348, 'f1': 0.9401347708894879, 'precision': 0.9182692307692308, 'recall': 0.9732142857142857}","{'accuracy': 0.9130434782608695, 'f1': 0.8660683760683761, 'precision': 0.8543956043956045, 'recall': 0.8809523809523809}","{'accuracy': 0.9130434782608695, 'f1': 0.8778205128205129, 'precision': 0.8592414529914529, 'recall': 0.9136904761904762}","{'accuracy': 0.8985507246376812, 'f1': 0.8498382749326145, 'precision': 0.8357692307692308, 'recall': 0.8720238095238095}"
