10,20,25,50,100
"{'accuracy': 0.9710144927536232, 'f1': 0.9583441558441559, 'precision': 0.9718406593406594, 'recall': 0.9494047619047619}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}","{'accuracy': 0.9565217391304348, 'f1': 0.9393778207607995, 'precision': 0.9386574074074074, 'recall': 0.9404761904761905}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}"
"{'accuracy': 0.9420289855072463, 'f1': 0.9026811966384554, 'precision': 0.9258064516129032, 'recall': 0.8849637681159419}","{'accuracy': 0.9855072463768116, 'f1': 0.9728867623604466, 'precision': 0.9913793103448276, 'recall': 0.9583333333333334}","{'accuracy': 0.9710144927536232, 'f1': 0.9577824724001636, 'precision': 0.9833333333333334, 'recall': 0.9375}","{'accuracy': 0.9710144927536232, 'f1': 0.9577824724001636, 'precision': 0.9833333333333334, 'recall': 0.9375}","{'accuracy': 0.9565217391304348, 'f1': 0.9483172147001934, 'precision': 0.9610933048433049, 'recall': 0.9404761904761905}"
"{'accuracy': 0.8985507246376812, 'f1': 0.8722796811032105, 'precision': 0.8552018633540373, 'recall': 0.9047619047619048}","{'accuracy': 0.9420289855072463, 'f1': 0.9086418900248687, 'precision': 0.9217261904761905, 'recall': 0.8988095238095238}","{'accuracy': 0.927536231884058, 'f1': 0.9044956658786446, 'precision': 0.8998397435897436, 'recall': 0.9107142857142857}","{'accuracy': 0.9565217391304348, 'f1': 0.9483172147001934, 'precision': 0.9610933048433049, 'recall': 0.9404761904761905}","{'accuracy': 0.9565217391304348, 'f1': 0.9257522796352583, 'precision': 0.9614239926739928, 'recall': 0.9077380952380952}"
"{'accuracy': 0.8695652173913043, 'f1': 0.8446186166774401, 'precision': 0.8287072981366459, 'recall': 0.875}","{'accuracy': 0.9420289855072463, 'f1': 0.9184700248530036, 'precision': 0.9085393772893774, 'recall': 0.9315476190476191}","{'accuracy': 0.9420289855072463, 'f1': 0.9184700248530036, 'precision': 0.9085393772893774, 'recall': 0.9315476190476191}","{'accuracy': 0.9565217391304348, 'f1': 0.9393778207607995, 'precision': 0.9386574074074074, 'recall': 0.9404761904761905}","{'accuracy': 0.9420289855072463, 'f1': 0.9086418900248687, 'precision': 0.9217261904761905, 'recall': 0.8988095238095238}"
