10,20,25,50,100
"{'accuracy': 0.9970059880239521, 'f1': 0.9974269005847953, 'precision': 0.997787610619469, 'recall': 0.997093023255814}","{'accuracy': 0.9910179640718563, 'f1': 0.989183775040438, 'precision': 0.9895272852127106, 'recall': 0.9888668975754576}","{'accuracy': 0.9880239520958084, 'f1': 0.9836472298183597, 'precision': 0.9836798839458414, 'recall': 0.9837437245995697}","{'accuracy': 0.9940119760479041, 'f1': 0.9916916541729135, 'precision': 0.9943181818181819, 'recall': 0.9893617021276596}","{'accuracy': 0.9940119760479041, 'f1': 0.9933161334709323, 'precision': 0.9925792772861357, 'recall': 0.9941860465116279}"
"{'accuracy': 0.9940119760479041, 'f1': 0.9946028930927775, 'precision': 0.9949140474010782, 'recall': 0.9943820224719101}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}","{'accuracy': 0.9880239520958084, 'f1': 0.9838029362899671, 'precision': 0.989932216905901, 'recall': 0.9787234042553191}","{'accuracy': 0.9940119760479041, 'f1': 0.9923528280107734, 'precision': 0.9956140350877193, 'recall': 0.9893617021276596}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}"
"{'accuracy': 0.9940119760479041, 'f1': 0.9925394144144144, 'precision': 0.9897959183673469, 'recall': 0.9955357142857143}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}","{'accuracy': 0.9970059880239521, 'f1': 0.9962007168458782, 'precision': 0.997787610619469, 'recall': 0.9946808510638298}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}","{'accuracy': 0.9970059880239521, 'f1': 0.9962007168458782, 'precision': 0.997787610619469, 'recall': 0.9946808510638298}"
"{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}","{'accuracy': 0.9940119760479041, 'f1': 0.9923528280107734, 'precision': 0.9956140350877193, 'recall': 0.9893617021276596}","{'accuracy': 0.9970059880239521, 'f1': 0.9962007168458782, 'precision': 0.997787610619469, 'recall': 0.9946808510638298}","{'accuracy': 0.9970059880239521, 'f1': 0.9962007168458782, 'precision': 0.997787610619469, 'recall': 0.9946808510638298}","{'accuracy': 0.9910179640718563, 'f1': 0.9884542770005325, 'precision': 0.9934782608695653, 'recall': 0.9840425531914894}"
